VERGLEICH ZWEIER MUSIKSTÜCKE
================================================================================
Für die Analyse durch ein KI-System
================================================================================

Erstes Musikstück (Referenz):  C:/Users/hpark/Development/Midi_Analyse/Midi_Files/Amazing_Grace Referenz linke Hand.mid
Zweites Musikstück (Vergleich): C:/Users/hpark/Development/Midi_Analyse/Midi_Files/Amazing_Grace falsche Töne linke Hand.mid

Ähnlichkeit: 94.1%
Unterschiede gefunden: 7

================================================================================
DETAILLIERTER VERGLEICH: TAKT FÜR TAKT
================================================================================

Hier werden beide Musikstücke Takt für Takt verglichen.
Unterschiede sind mit ⚠️ markiert.


### Spur 0: Klavier

Position            | Referenz                                                  | Vergleich
----------------------------------------------------------------------------------------------------------------------------------
Takt 1, Zählzeit 2  | G2 (Achtel Note), D3 (Achtel Note)                        | G2 (Achtel Note), D3 (Achtel Note)                       
Takt 1, Zählzeit 3  | G3 (Viertel Note)                                         | G3 (Viertel Note)                                        
Takt 1, Zählzeit 4  | B3 (Viertel Note)                                         | B3 (Viertel Note)                                        
Takt 2, Zählzeit 1  | D3 (Achtel Note), F#3 (Achtel Note)                       | D3 (Achtel Note), F#3 (Achtel Note)                      
Takt 2, Zählzeit 2  | A3 (Viertel Note)                                         | A3 (Viertel Note)                                        
Takt 2, Zählzeit 3  | C4 (Viertel Note)                                         | C4 (Viertel Note)                                        
Takt 2, Zählzeit 4  | C3 (Achtel Note), E3 (Achtel Note)                        | C3 (Achtel Note), E3 (Achtel Note)                       
Takt 3, Zählzeit 1  | G3 (Viertel Note)                                         | G3 (Viertel Note)                                        
Takt 3, Zählzeit 2  | C4 (Viertel Note)                                         | C4 (Viertel Note)                                        
Takt 3, Zählzeit 3  | G2 (Achtel Note), D3 (Achtel Note)                        | A2 (Sechzehntel Note), G2 (Sechzehntel Note), D3 (Achtel Note)  ⚠️ UNTERSCHIED
Takt 3, Zählzeit 4  | G3 (Viertel Note)                                         | G3 (Viertel Note)                                        
Takt 4, Zählzeit 2  | G2 (Achtel Note), D3 (Achtel Note)                        | G2 (Achtel Note), D3 (Achtel Note)                       
Takt 4, Zählzeit 3  | G3 (Viertel Note)                                         | G3 (Viertel Note)                                        
Takt 4, Zählzeit 4  | B3 (Viertel Note)                                         | B3 (Viertel Note)                                        
Takt 5, Zählzeit 1  | D3 (Achtel Note), F#3 (Achtel Note)                       | D3 (Achtel Note), F#3 (Achtel Note)                      
Takt 5, Zählzeit 2  | A3 (Viertel Note)                                         | A3 (Viertel Note)                                        
Takt 5, Zählzeit 3  | C4 (Viertel Note)                                         | C4 (Viertel Note)                                        
Takt 5, Zählzeit 4  | C3 (Achtel Note), E3 (Achtel Note)                        | C3 (Achtel Note), E3 (Achtel Note)                       
Takt 6, Zählzeit 1  | G3 (Viertel Note)                                         | G3 (Viertel Note)                                        
